,# reads >= minimum,# bases in reads >= minimum,histogram,total ref bases covered,"total ref bases covered, alignment length > 90% read"
500,1579060,5979144764,380562,927910674,925822633
1000,1198498,5706510537,177996,920383267,918020505
1500,1020502,5487974694,132078,912292972,909924455
2000,888424,5258736875,96460,904748098,902303609
2500,791964,5042941128,75044,897466659,894890488
3000,716920,4837330130,60860,889907023,887192266
3500,656060,4640156299,51165,882147637,879249554
4000,604895,4448667417,43718,873898090,870871350
4500,561177,4263131768,39481,865122253,862116741
5000,521696,4075829221,36230,854823136,851974516
5500,485466,3885765099,34768,844054080,841523399
6000,450698,3685910766,34063,831686019,829599786
6500,416635,3473016287,35228,816958760,815248603
7000,381407,3235103366,51526,799055139,797844080
7500,329881,2859908483,93426,771917788,771051427
8000,236455,2135422172,78923,710463468,709888394
8500,157532,1485325024,57626,622975796,622604544
9000,99906,981945384,40074,513196419,512986778
9500,59832,611940150,26485,386738420,386652648
10000,33347,354233242,16539,261704561,261661410
10500,16808,185063470,9709,154001806,153980637
11000,7099,80929655,4960,73223404,73223404
11500,2139,25304661,1749,23911868,23911868
12000,390,4846373,327,4518281,4518281
12500,63,869385,31,680764,680764
13000,32,476315,3,338814,338814
13500,29,436517,7,299009,299009
14000,22,340118,5,216579,216579
14500,17,268354,5,188081,188081
15000,12,194878,3,129280,129280
