,# reads >= minimum,# bases in reads >= minimum,histogram,total ref bases covered,"total ref bases covered, alignment length > 90% read"
500,1579060,5979144764,380562,861340070,822849049
1000,1198498,5706510537,177996,856041875,813355067
1500,1020502,5487974694,132078,851206517,804452160
2000,888424,5258736875,96460,846848062,795848482
2500,791964,5042941128,75044,842270459,786925399
3000,716920,4837330130,60860,837297964,777548083
3500,656060,4640156299,51165,831939901,767605790
4000,604895,4448667417,43718,826275521,757371322
4500,561177,4263131768,39481,820383036,746935144
5000,521696,4075829221,36230,813324316,735442127
5500,485466,3885765099,34768,805880858,723596727
6000,450698,3685910766,34063,797349471,710879582
6500,416635,3473016287,35228,786997143,696277887
7000,381407,3235103366,51526,773834101,679037408
7500,329881,2859908483,93426,752631701,651879672
8000,236455,2135422172,78923,700732257,587672522
8500,157532,1485325024,57626,622487206,501621674
9000,99906,981945384,40074,519975737,401902417
9500,59832,611940150,26485,397122647,295127743
10000,33347,354233242,16539,271267193,194892528
10500,16808,185063470,9709,161094016,112797988
11000,7099,80929655,4960,76707337,52316978
11500,2139,25304661,1749,25066690,16741243
12000,390,4846373,327,4830387,3133169
12500,63,869385,31,856471,510501
13000,32,476315,3,461040,270244
13500,29,436517,7,421499,230703
14000,22,340118,5,328581,161312
14500,17,268354,5,260590,125694
15000,12,194878,3,191072,85222
