,# reads >= minimum,# bases in reads >= minimum,histogram,total ref bases covered,"total ref bases covered, alignment length > 90% read"
500,1579060,5979144764,380562,928127565,926069574
1000,1198498,5706510537,177996,921540654,919227322
1500,1020502,5487974694,132078,915760290,913284507
2000,888424,5258736875,96460,910702372,908168597
2500,791964,5042941128,75044,905471339,902874039
3000,716920,4837330130,60860,899770850,897086258
3500,656060,4640156299,51165,893713882,890924908
4000,604895,4448667417,43718,887281357,884367026
4500,561177,4263131768,39481,880527411,877466186
5000,521696,4075829221,36230,872562787,869357035
5500,485466,3885765099,34768,864187529,860846350
6000,450698,3685910766,34063,854643939,851124944
6500,416635,3473016287,35228,843021834,839320302
7000,381407,3235103366,51526,828329982,824524986
7500,329881,2859908483,93426,804833106,800855941
8000,236455,2135422172,78923,747838596,743648851
8500,157532,1485325024,57626,662861999,658569068
9000,99906,981945384,40074,552354897,548166866
9500,59832,611940150,26485,420904643,417289383
10000,33347,354233242,16539,286923788,284274054
10500,16808,185063470,9709,170081379,168285960
11000,7099,80929655,4960,80978826,79905051
11500,2139,25304661,1749,26497252,26061505
12000,390,4846373,327,5119612,4949056
12500,63,869385,31,935141,827949
13000,32,476315,3,510230,431938
13500,29,436517,7,470425,392133
14000,22,340118,5,361770,294107
14500,17,268354,5,288788,246725
15000,12,194878,3,212010,176186
